# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
F leakage_power__ACQ_1 of OAI22 T0 W1
F Cin__VSS__hl__ACQ_1 of OAI22 T1 W1
F Cin__VSS__lh__ACQ_1 of OAI22 T2 W1
F delay__VA__hl__OUT__lh__ACQ_1 of OAI22 T3 W1
F delay__VA__lh__OUT__hl__ACQ_1 of OAI22 T4 W1
F delay__VB__hl__OUT__lh__ACQ_1 of OAI22 T5 W1
F delay__VB__lh__OUT__hl__ACQ_1 of OAI22 T6 W1
F delay__VC__hl__OUT__lh__ACQ_1 of OAI22 T7 W1
F delay__VC__lh__OUT__hl__ACQ_1 of OAI22 T8 W1
F delay__VD__hl__OUT__lh__ACQ_1 of OAI22 T9 W1
F delay__VD__lh__OUT__hl__ACQ_1 of OAI22 T10 W1
F Cin__VDD__hl__ACQ_1 of OAI22 T11 W1
F Cin__VDD__lh__ACQ_1 of OAI22 T12 W1
F leakage_power__ACQ_1 of OAI22 T13 W1
F Cin__VSS__hl__ACQ_1 of OAI22 T14 W1
F Cin__VSS__lh__ACQ_1 of OAI22 T15 W1
F delay__VA__hl__OUT__lh__ACQ_1 of OAI22 T16 W1
F delay__VA__lh__OUT__hl__ACQ_1 of OAI22 T17 W1
F delay__VB__hl__OUT__lh__ACQ_1 of OAI22 T18 W1
F delay__VB__lh__OUT__hl__ACQ_1 of OAI22 T19 W1
F delay__VC__hl__OUT__lh__ACQ_1 of OAI22 T20 W1
F delay__VC__lh__OUT__hl__ACQ_1 of OAI22 T21 W1
F delay__VD__hl__OUT__lh__ACQ_1 of OAI22 T22 W1
F delay__VD__lh__OUT__hl__ACQ_1 of OAI22 T23 W1
F Cin__VDD__hl__ACQ_1 of OAI22 T24 W1
F Cin__VDD__lh__ACQ_1 of OAI22 T25 W1
C leakage_power__ACQ_1 of OAI22 T26 W1
C Cin__VSS__hl__ACQ_1 of OAI22 T27 W1
C Cin__VSS__lh__ACQ_1 of OAI22 T28 W1
C delay__VA__hl__OUT__lh__ACQ_1 of OAI22 T29 W1
C delay__VA__lh__OUT__hl__ACQ_1 of OAI22 T30 W1
C delay__VB__hl__OUT__lh__ACQ_1 of OAI22 T31 W1
C delay__VB__lh__OUT__hl__ACQ_1 of OAI22 T32 W1
C delay__VC__hl__OUT__lh__ACQ_1 of OAI22 T33 W1
C delay__VC__lh__OUT__hl__ACQ_1 of OAI22 T34 W1
C delay__VD__hl__OUT__lh__ACQ_1 of OAI22 T35 W1
C delay__VD__lh__OUT__hl__ACQ_1 of OAI22 T36 W1
C Cin__VDD__hl__ACQ_1 of OAI22 T37 W1
C Cin__VDD__lh__ACQ_1 of OAI22 T38 W1
