//Loading PDBs.
//PDB loading of cell: CSA
//Making the stats.
GID                       totalC    totalCC    ratioCC     Cell    Layout   Source
256                      5.13e-18   7.89e-19   1.54e-01    CSA     275      XI2/XI0/XI5/NET2  
257                      4.35e-18   0.00e+00   0.00e+00    CSA     276      XI2/XI0/XI5/NET1  
258                      5.13e-18   7.89e-19   1.54e-01    CSA     277      XI1/XI1/XI5/NET2  
259                      4.35e-18   0.00e+00   0.00e+00    CSA     278      XI1/XI1/XI5/NET1  
260                      5.13e-18   7.89e-19   1.54e-01    CSA     279      XI1/XI0/XI5/NET2  
261                      4.35e-18   0.00e+00   0.00e+00    CSA     280      XI1/XI0/XI5/NET1  
262                      5.13e-18   7.89e-19   1.54e-01    CSA     281      XI0/XI5/NET2  
263                      4.35e-18   0.00e+00   0.00e+00    CSA     282      XI0/XI5/NET1  
264                      1.30e-17   6.38e-18   4.92e-01    CSA     283      XI2/XI5/NET7  
265                      5.22e-18   7.89e-19   1.51e-01    CSA     284      XI2/XI5/NET6  
266                      5.88e-18   1.53e-18   2.61e-01    CSA     285      XI2/XI1/XI4/NET2  
267                      5.92e-18   1.58e-18   2.66e-01    CSA     286      XI2/XI1/XI4/NET1  
268                      5.88e-18   1.53e-18   2.61e-01    CSA     287      XI2/XI0/XI4/NET2  
269                      5.92e-18   1.58e-18   2.66e-01    CSA     288      XI2/XI0/XI4/NET1  
270                      1.30e-17   6.38e-18   4.92e-01    CSA     289      XI1/XI5/NET7  
271                      5.22e-18   7.89e-19   1.51e-01    CSA     290      XI1/XI5/NET6  
272                      5.88e-18   1.53e-18   2.61e-01    CSA     291      XI1/XI1/XI4/NET2  
273                      5.92e-18   1.58e-18   2.66e-01    CSA     292      XI1/XI1/XI4/NET1  
274                      5.88e-18   1.53e-18   2.61e-01    CSA     293      XI1/XI0/XI4/NET2  
275                      5.92e-18   1.58e-18   2.66e-01    CSA     294      XI1/XI0/XI4/NET1  
276                      5.88e-18   1.53e-18   2.61e-01    CSA     295      XI0/XI4/NET2  
277                      5.92e-18   1.58e-18   2.66e-01    CSA     296      XI0/XI4/NET1  
278                      5.08e-18   7.45e-19   1.47e-01    CSA     297      XI2/XI1/XI4/NET5  
279                      5.91e-18   1.58e-18   2.67e-01    CSA     298      XI2/XI1/XI4/NET4  
280                      5.08e-18   7.45e-19   1.47e-01    CSA     299      XI2/XI0/XI4/NET5  
281                      5.91e-18   1.58e-18   2.67e-01    CSA     300      XI2/XI0/XI4/NET4  
282                      5.08e-18   7.45e-19   1.47e-01    CSA     301      XI1/XI1/XI4/NET5  
283                      5.91e-18   1.58e-18   2.67e-01    CSA     302      XI1/XI1/XI4/NET4  
284                      5.08e-18   7.45e-19   1.47e-01    CSA     303      XI1/XI0/XI4/NET5  
285                      5.91e-18   1.58e-18   2.67e-01    CSA     304      XI1/XI0/XI4/NET4  
286                      5.08e-18   7.45e-19   1.47e-01    CSA     305      XI0/XI4/NET5  
287                      5.91e-18   1.58e-18   2.67e-01    CSA     306      XI0/XI4/NET4  
288                      1.26e-17   2.56e-18   2.03e-01    CSA     307      XI2/XI5/NET2  
289                      1.26e-17   2.56e-18   2.03e-01    CSA     308      XI1/XI5/NET2  
290                      5.13e-18   7.89e-19   1.54e-01    CSA     309      XI2/XI5/NET5  
291                      5.13e-18   7.89e-19   1.54e-01    CSA     310      XI1/XI5/NET5  
292                      5.13e-18   7.89e-19   1.54e-01    CSA     311      XI2/XI1/XI6/NET2  
293                      4.35e-18   0.00e+00   0.00e+00    CSA     312      XI2/XI1/XI6/NET1  
294                      5.13e-18   7.89e-19   1.54e-01    CSA     313      XI2/XI0/XI6/NET2  
295                      4.35e-18   0.00e+00   0.00e+00    CSA     314      XI2/XI0/XI6/NET1  
296                      5.13e-18   7.89e-19   1.54e-01    CSA     315      XI1/XI1/XI6/NET2  
297                      4.35e-18   0.00e+00   0.00e+00    CSA     316      XI1/XI1/XI6/NET1  
298                      5.13e-18   7.89e-19   1.54e-01    CSA     317      XI1/XI0/XI6/NET2  
299                      4.35e-18   0.00e+00   0.00e+00    CSA     318      XI1/XI0/XI6/NET1  
300                      5.13e-18   7.89e-19   1.54e-01    CSA     319      XI0/XI6/NET2  
301                      4.35e-18   0.00e+00   0.00e+00    CSA     320      XI0/XI6/NET1  
302                      5.88e-18   1.53e-18   2.61e-01    CSA     323      XI2/XI1/XI7/NET2  
303                      5.92e-18   1.58e-18   2.66e-01    CSA     324      XI2/XI1/XI7/NET1  
304                      5.88e-18   1.53e-18   2.61e-01    CSA     325      XI2/XI0/XI7/NET2  
305                      5.92e-18   1.58e-18   2.66e-01    CSA     326      XI2/XI0/XI7/NET1  
306                      5.88e-18   1.53e-18   2.61e-01    CSA     327      XI1/XI1/XI7/NET2  
307                      5.92e-18   1.58e-18   2.66e-01    CSA     328      XI1/XI1/XI7/NET1  
308                      5.88e-18   1.53e-18   2.61e-01    CSA     329      XI1/XI0/XI7/NET2  
309                      5.92e-18   1.58e-18   2.66e-01    CSA     330      XI1/XI0/XI7/NET1  
310                      5.88e-18   1.53e-18   2.61e-01    CSA     331      XI0/XI7/NET2  
311                      5.92e-18   1.58e-18   2.66e-01    CSA     332      XI0/XI7/NET1  
312                      5.08e-18   7.45e-19   1.47e-01    CSA     334      XI2/XI1/XI7/NET5  
313                      5.91e-18   1.58e-18   2.67e-01    CSA     335      XI2/XI1/XI7/NET4  
314                      5.08e-18   7.45e-19   1.47e-01    CSA     336      XI2/XI0/XI7/NET5  
315                      5.91e-18   1.58e-18   2.67e-01    CSA     337      XI2/XI0/XI7/NET4  
316                      5.08e-18   7.45e-19   1.47e-01    CSA     339      XI1/XI1/XI7/NET5  
317                      5.91e-18   1.58e-18   2.67e-01    CSA     340      XI1/XI1/XI7/NET4  
