Information: Updating graph... (UID-83)
 
****************************************
Report : cell
Design : FIR_Filter_Project1_1
Version: O-2018.06-SP1
Date   : Sun Sep  8 21:30:47 2024
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
PR_add_reg[5][17]         dff             library         7.000000  n
PR_add_reg[5][18]         dff             library         7.000000  n
PR_add_reg[5][19]         dff             library         7.000000  n
PR_add_reg[6][0]          dff             library         7.000000  n
PR_add_reg[6][1]          dff             library         7.000000  n
PR_add_reg[6][2]          dff             library         7.000000  n
PR_add_reg[6][3]          dff             library         7.000000  n
PR_add_reg[6][4]          dff             library         7.000000  n
PR_add_reg[6][5]          dff             library         7.000000  n
PR_add_reg[6][6]          dff             library         7.000000  n
PR_add_reg[6][7]          dff             library         7.000000  n
PR_add_reg[6][8]          dff             library         7.000000  n
PR_add_reg[6][9]          dff             library         7.000000  n
PR_add_reg[6][10]         dff             library         7.000000  n
PR_add_reg[6][11]         dff             library         7.000000  n
PR_add_reg[6][12]         dff             library         7.000000  n
PR_add_reg[6][13]         dff             library         7.000000  n
PR_add_reg[6][14]         dff             library         7.000000  n
PR_add_reg[6][15]         dff             library         7.000000  n
PR_add_reg[6][16]         dff             library         7.000000  n
PR_add_reg[6][17]         dff             library         7.000000  n
PR_add_reg[6][18]         dff             library         7.000000  n
PR_add_reg[6][19]         dff             library         7.000000  n
PR_add_reg[7][0]          dff             library         7.000000  n
PR_add_reg[7][1]          dff             library         7.000000  n
PR_add_reg[7][2]          dff             library         7.000000  n
PR_add_reg[7][3]          dff             library         7.000000  n
PR_add_reg[7][4]          dff             library         7.000000  n
PR_add_reg[7][5]          dff             library         7.000000  n
PR_add_reg[7][6]          dff             library         7.000000  n
PR_add_reg[7][7]          dff             library         7.000000  n
PR_add_reg[7][8]          dff             library         7.000000  n
PR_add_reg[7][9]          dff             library         7.000000  n
PR_add_reg[7][10]         dff             library         7.000000  n
PR_add_reg[7][11]         dff             library         7.000000  n
PR_add_reg[7][12]         dff             library         7.000000  n
PR_add_reg[7][13]         dff             library         7.000000  n
PR_add_reg[7][14]         dff             library         7.000000  n
PR_add_reg[7][15]         dff             library         7.000000  n
PR_add_reg[7][16]         dff             library         7.000000  n
PR_add_reg[7][17]         dff             library         7.000000  n
PR_add_reg[7][18]         dff             library         7.000000  n
PR_add_reg[7][19]         dff             library         7.000000  n
PR_add_reg[8][0]          dff             library         7.000000  n
PR_add_reg[8][1]          dff             library         7.000000  n
PR_add_reg[8][2]          dff             library         7.000000  n
PR_add_reg[8][3]          dff             library         7.000000  n
PR_add_reg[8][4]          dff             library         7.000000  n
PR_add_reg[8][5]          dff             library         7.000000  n
PR_add_reg[8][6]          dff             library         7.000000  n
PR_add_reg[8][7]          dff             library         7.000000  n
PR_add_reg[8][8]          dff             library         7.000000  n
PR_add_reg[8][9]          dff             library         7.000000  n
PR_add_reg[8][10]         dff             library         7.000000  n
PR_add_reg[8][11]         dff             library         7.000000  n
PR_add_reg[8][12]         dff             library         7.000000  n
PR_add_reg[8][13]         dff             library         7.000000  n
PR_add_reg[8][14]         dff             library         7.000000  n
PR_add_reg[8][15]         dff             library         7.000000  n
PR_add_reg[8][16]         dff             library         7.000000  n
PR_add_reg[8][17]         dff             library         7.000000  n
PR_add_reg[8][18]         dff             library         7.000000  n
PR_add_reg[8][19]         dff             library         7.000000  n
PR_add_reg[9][0]          dff             library         7.000000  n
PR_add_reg[9][1]          dff             library         7.000000  n
PR_add_reg[9][2]          dff             library         7.000000  n
PR_add_reg[9][3]          dff             library         7.000000  n
PR_add_reg[9][4]          dff             library         7.000000  n
PR_add_reg[9][5]          dff             library         7.000000  n
PR_add_reg[9][6]          dff             library         7.000000  n
PR_add_reg[9][7]          dff             library         7.000000  n
PR_add_reg[9][8]          dff             library         7.000000  n
PR_add_reg[9][9]          dff             library         7.000000  n
PR_add_reg[9][10]         dff             library         7.000000  n
PR_add_reg[9][11]         dff             library         7.000000  n
PR_add_reg[9][12]         dff             library         7.000000  n
PR_add_reg[9][13]         dff             library         7.000000  n
PR_add_reg[9][14]         dff             library         7.000000  n
PR_add_reg[9][15]         dff             library         7.000000  n
PR_add_reg[9][16]         dff             library         7.000000  n
PR_add_reg[9][17]         dff             library         7.000000  n
PR_add_reg[9][18]         dff             library         7.000000  n
PR_add_reg[9][19]         dff             library         7.000000  n
PR_add_reg[10][0]         dff             library         7.000000  n
PR_add_reg[10][1]         dff             library         7.000000  n
PR_add_reg[10][2]         dff             library         7.000000  n
PR_add_reg[10][3]         dff             library         7.000000  n
PR_add_reg[10][4]         dff             library         7.000000  n
PR_add_reg[10][5]         dff             library         7.000000  n
PR_add_reg[10][6]         dff             library         7.000000  n
PR_add_reg[10][7]         dff             library         7.000000  n
PR_add_reg[10][8]         dff             library         7.000000  n
PR_add_reg[10][9]         dff             library         7.000000  n
PR_add_reg[10][10]        dff             library         7.000000  n
PR_add_reg[10][11]        dff             library         7.000000  n
PR_add_reg[10][12]        dff             library         7.000000  n
PR_add_reg[10][13]        dff             library         7.000000  n
PR_add_reg[10][14]        dff             library         7.000000  n
PR_add_reg[10][15]        dff             library         7.000000  n
PR_add_reg[10][16]        dff             library         7.000000  n
PR_add_reg[10][17]        dff             library         7.000000  n
PR_add_reg[10][18]        dff             library         7.000000  n
PR_add_reg[10][19]        dff             library         7.000000  n
PR_add_reg[11][0]         dff             library         7.000000  n
PR_add_reg[11][1]         dff             library         7.000000  n
PR_add_reg[11][2]         dff             library         7.000000  n
PR_add_reg[11][3]         dff             library         7.000000  n
PR_add_reg[11][4]         dff             library         7.000000  n
PR_add_reg[11][5]         dff             library         7.000000  n
PR_add_reg[11][6]         dff             library         7.000000  n
PR_add_reg[11][7]         dff             library         7.000000  n
PR_add_reg[11][8]         dff             library         7.000000  n
PR_add_reg[11][9]         dff             library         7.000000  n
PR_add_reg[11][10]        dff             library         7.000000  n
PR_add_reg[11][11]        dff             library         7.000000  n
PR_add_reg[11][12]        dff             library         7.000000  n
PR_add_reg[11][13]        dff             library         7.000000  n
PR_add_reg[11][14]        dff             library         7.000000  n
PR_add_reg[11][15]        dff             library         7.000000  n
PR_add_reg[11][16]        dff             library         7.000000  n
PR_add_reg[11][17]        dff             library         7.000000  n
PR_add_reg[11][18]        dff             library         7.000000  n
PR_add_reg[11][19]        dff             library         7.000000  n
PR_add_reg[12][0]         dff             library         7.000000  n
PR_add_reg[12][1]         dff             library         7.000000  n
PR_add_reg[12][2]         dff             library         7.000000  n
PR_add_reg[12][3]         dff             library         7.000000  n
PR_add_reg[12][4]         dff             library         7.000000  n
PR_add_reg[12][5]         dff             library         7.000000  n
PR_add_reg[12][6]         dff             library         7.000000  n
PR_add_reg[12][7]         dff             library         7.000000  n
PR_add_reg[12][8]         dff             library         7.000000  n
PR_add_reg[12][9]         dff             library         7.000000  n
PR_add_reg[12][10]        dff             library         7.000000  n
PR_add_reg[12][11]        dff             library         7.000000  n
PR_add_reg[12][12]        dff             library         7.000000  n
PR_add_reg[12][13]        dff             library         7.000000  n
PR_add_reg[12][14]        dff             library         7.000000  n
PR_add_reg[12][15]        dff             library         7.000000  n
PR_add_reg[12][16]        dff             library         7.000000  n
PR_add_reg[12][17]        dff             library         7.000000  n
PR_add_reg[12][18]        dff             library         7.000000  n
PR_add_reg[12][19]        dff             library         7.000000  n
PR_add_reg[13][0]         dff             library         7.000000  n
PR_add_reg[13][1]         dff             library         7.000000  n
PR_add_reg[13][2]         dff             library         7.000000  n
PR_add_reg[13][3]         dff             library         7.000000  n
PR_add_reg[13][4]         dff             library         7.000000  n
PR_add_reg[13][5]         dff             library         7.000000  n
PR_add_reg[13][6]         dff             library         7.000000  n
PR_add_reg[13][7]         dff             library         7.000000  n
PR_add_reg[13][8]         dff             library         7.000000  n
PR_add_reg[13][9]         dff             library         7.000000  n
PR_add_reg[13][10]        dff             library         7.000000  n
PR_add_reg[13][11]        dff             library         7.000000  n
PR_add_reg[13][12]        dff             library         7.000000  n
PR_add_reg[13][13]        dff             library         7.000000  n
PR_add_reg[13][14]        dff             library         7.000000  n
PR_add_reg[13][15]        dff             library         7.000000  n
PR_add_reg[13][16]        dff             library         7.000000  n
PR_add_reg[13][17]        dff             library         7.000000  n
PR_add_reg[13][18]        dff             library         7.000000  n
PR_add_reg[13][19]        dff             library         7.000000  n
PR_mul_reg[0][0]          dff             library         7.000000  n
PR_mul_reg[0][1]          dff             library         7.000000  n
PR_mul_reg[0][2]          dff             library         7.000000  n
PR_mul_reg[0][3]          dff             library         7.000000  n
PR_mul_reg[0][4]          dff             library         7.000000  n
PR_mul_reg[0][5]          dff             library         7.000000  n
PR_mul_reg[0][6]          dff             library         7.000000  n
PR_mul_reg[0][7]          dff             library         7.000000  n
PR_mul_reg[0][8]          dff             library         7.000000  n
PR_mul_reg[0][9]          dff             library         7.000000  n
PR_mul_reg[0][10]         dff             library         7.000000  n
PR_mul_reg[1][3]          dff             library         7.000000  n
PR_mul_reg[1][4]          dff             library         7.000000  n
PR_mul_reg[1][5]          dff             library         7.000000  n
PR_mul_reg[1][6]          dff             library         7.000000  n
PR_mul_reg[1][7]          dff             library         7.000000  n
PR_mul_reg[1][8]          dff             library         7.000000  n
PR_mul_reg[1][9]          dff             library         7.000000  n
PR_mul_reg[1][10]         dff             library         7.000000  n
PR_mul_reg[2][0]          dff             library         7.000000  n
PR_mul_reg[2][1]          dff             library         7.000000  n
PR_mul_reg[2][2]          dff             library         7.000000  n
PR_mul_reg[2][3]          dff             library         7.000000  n
PR_mul_reg[2][4]          dff             library         7.000000  n
PR_mul_reg[2][5]          dff             library         7.000000  n
PR_mul_reg[2][6]          dff             library         7.000000  n
PR_mul_reg[2][7]          dff             library         7.000000  n
PR_mul_reg[2][8]          dff             library         7.000000  n
PR_mul_reg[2][9]          dff             library         7.000000  n
PR_mul_reg[2][10]         dff             library         7.000000  n
PR_mul_reg[2][11]         dff             library         7.000000  n
PR_mul_reg[3][2]          dff             library         7.000000  n
PR_mul_reg[3][3]          dff             library         7.000000  n
PR_mul_reg[3][4]          dff             library         7.000000  n
PR_mul_reg[3][5]          dff             library         7.000000  n
PR_mul_reg[3][6]          dff             library         7.000000  n
PR_mul_reg[3][7]          dff             library         7.000000  n
PR_mul_reg[3][8]          dff             library         7.000000  n
PR_mul_reg[3][9]          dff             library         7.000000  n
PR_mul_reg[3][10]         dff             library         7.000000  n
PR_mul_reg[3][11]         dff             library         7.000000  n
PR_mul_reg[4][2]          dff             library         7.000000  n
PR_mul_reg[4][3]          dff             library         7.000000  n
PR_mul_reg[4][4]          dff             library         7.000000  n
PR_mul_reg[4][5]          dff             library         7.000000  n
PR_mul_reg[4][6]          dff             library         7.000000  n
PR_mul_reg[4][7]          dff             library         7.000000  n
PR_mul_reg[4][8]          dff             library         7.000000  n
PR_mul_reg[4][9]          dff             library         7.000000  n
PR_mul_reg[5][0]          dff             library         7.000000  n
PR_mul_reg[5][1]          dff             library         7.000000  n
PR_mul_reg[5][2]          dff             library         7.000000  n
PR_mul_reg[5][3]          dff             library         7.000000  n
PR_mul_reg[5][4]          dff             library         7.000000  n
PR_mul_reg[5][5]          dff             library         7.000000  n
PR_mul_reg[5][6]          dff             library         7.000000  n
PR_mul_reg[5][7]          dff             library         7.000000  n
PR_mul_reg[5][8]          dff             library         7.000000  n
PR_mul_reg[5][9]          dff             library         7.000000  n
PR_mul_reg[5][10]         dff             library         7.000000  n
PR_mul_reg[6][3]          dff             library         7.000000  n
PR_mul_reg[6][4]          dff             library         7.000000  n
PR_mul_reg[6][5]          dff             library         7.000000  n
PR_mul_reg[6][6]          dff             library         7.000000  n
PR_mul_reg[6][7]          dff             library         7.000000  n
PR_mul_reg[6][8]          dff             library         7.000000  n
PR_mul_reg[6][9]          dff             library         7.000000  n
PR_mul_reg[6][10]         dff             library         7.000000  n
PR_mul_reg[7][0]          dff             library         7.000000  n
PR_mul_reg[7][1]          dff             library         7.000000  n
PR_mul_reg[7][2]          dff             library         7.000000  n
PR_mul_reg[7][3]          dff             library         7.000000  n
PR_mul_reg[7][4]          dff             library         7.000000  n
PR_mul_reg[7][5]          dff             library         7.000000  n
PR_mul_reg[7][6]          dff             library         7.000000  n
PR_mul_reg[7][7]          dff             library         7.000000  n
PR_mul_reg[7][8]          dff             library         7.000000  n
PR_mul_reg[7][9]          dff             library         7.000000  n
PR_mul_reg[7][10]         dff             library         7.000000  n
PR_mul_reg[7][11]         dff             library         7.000000  n
PR_mul_reg[8][2]          dff             library         7.000000  n
PR_mul_reg[8][3]          dff             library         7.000000  n
PR_mul_reg[8][4]          dff             library         7.000000  n
PR_mul_reg[8][5]          dff             library         7.000000  n
PR_mul_reg[8][6]          dff             library         7.000000  n
PR_mul_reg[8][7]          dff             library         7.000000  n
PR_mul_reg[8][8]          dff             library         7.000000  n
PR_mul_reg[8][9]          dff             library         7.000000  n
PR_mul_reg[8][10]         dff             library         7.000000  n
PR_mul_reg[8][11]         dff             library         7.000000  n
PR_mul_reg[9][2]          dff             library         7.000000  n
PR_mul_reg[9][3]          dff             library         7.000000  n
PR_mul_reg[9][4]          dff             library         7.000000  n
PR_mul_reg[9][5]          dff             library         7.000000  n
PR_mul_reg[9][6]          dff             library         7.000000  n
PR_mul_reg[9][7]          dff             library         7.000000  n
PR_mul_reg[9][8]          dff             library         7.000000  n
PR_mul_reg[9][9]          dff             library         7.000000  n
PR_mul_reg[10][0]         dff             library         7.000000  n
PR_mul_reg[10][1]         dff             library         7.000000  n
PR_mul_reg[10][2]         dff             library         7.000000  n
PR_mul_reg[10][3]         dff             library         7.000000  n
PR_mul_reg[10][4]         dff             library         7.000000  n
PR_mul_reg[10][5]         dff             library         7.000000  n
PR_mul_reg[10][6]         dff             library         7.000000  n
PR_mul_reg[10][7]         dff             library         7.000000  n
PR_mul_reg[10][8]         dff             library         7.000000  n
PR_mul_reg[10][9]         dff             library         7.000000  n
PR_mul_reg[10][10]        dff             library         7.000000  n
PR_mul_reg[11][3]         dff             library         7.000000  n
PR_mul_reg[11][4]         dff             library         7.000000  n
PR_mul_reg[11][5]         dff             library         7.000000  n
PR_mul_reg[11][6]         dff             library         7.000000  n
PR_mul_reg[11][7]         dff             library         7.000000  n
PR_mul_reg[11][8]         dff             library         7.000000  n
PR_mul_reg[11][9]         dff             library         7.000000  n
PR_mul_reg[11][10]        dff             library         7.000000  n
PR_mul_reg[12][0]         dff             library         7.000000  n
PR_mul_reg[12][1]         dff             library         7.000000  n
PR_mul_reg[12][2]         dff             library         7.000000  n
PR_mul_reg[12][3]         dff             library         7.000000  n
PR_mul_reg[12][4]         dff             library         7.000000  n
PR_mul_reg[12][5]         dff             library         7.000000  n
PR_mul_reg[12][6]         dff             library         7.000000  n
PR_mul_reg[12][7]         dff             library         7.000000  n
PR_mul_reg[12][8]         dff             library         7.000000  n
PR_mul_reg[12][9]         dff             library         7.000000  n
PR_mul_reg[12][10]        dff             library         7.000000  n
PR_mul_reg[12][11]        dff             library         7.000000  n
PR_mul_reg[13][2]         dff             library         7.000000  n
PR_mul_reg[13][3]         dff             library         7.000000  n
PR_mul_reg[13][4]         dff             library         7.000000  n
PR_mul_reg[13][5]         dff             library         7.000000  n
PR_mul_reg[13][6]         dff             library         7.000000  n
PR_mul_reg[13][7]         dff             library         7.000000  n
PR_mul_reg[13][8]         dff             library         7.000000  n
PR_mul_reg[13][9]         dff             library         7.000000  n
PR_mul_reg[13][10]        dff             library         7.000000  n
PR_mul_reg[13][11]        dff             library         7.000000  n
PR_mul_reg[14][2]         dff             library         7.000000  n
PR_mul_reg[14][3]         dff             library         7.000000  n
PR_mul_reg[14][4]         dff             library         7.000000  n
PR_mul_reg[14][5]         dff             library         7.000000  n
PR_mul_reg[14][6]         dff             library         7.000000  n
PR_mul_reg[14][7]         dff             library         7.000000  n
PR_mul_reg[14][8]         dff             library         7.000000  n
PR_mul_reg[14][9]         dff             library         7.000000  n
Samples_reg[0][0]         dff             library         7.000000  n
Samples_reg[0][1]         dff             library         7.000000  n
Samples_reg[0][2]         dff             library         7.000000  n
Samples_reg[0][3]         dff             library         7.000000  n
Samples_reg[0][4]         dff             library         7.000000  n
Samples_reg[0][5]         dff             library         7.000000  n
Samples_reg[0][6]         dff             library         7.000000  n
Samples_reg[0][7]         dff             library         7.000000  n
Samples_reg[1][0]         dff             library         7.000000  n
Samples_reg[1][1]         dff             library         7.000000  n
Samples_reg[1][2]         dff             library         7.000000  n
Samples_reg[1][3]         dff             library         7.000000  n
Samples_reg[1][4]         dff             library         7.000000  n
Samples_reg[1][5]         dff             library         7.000000  n
Samples_reg[1][6]         dff             library         7.000000  n
Samples_reg[1][7]         dff             library         7.000000  n
Samples_reg[2][0]         dff             library         7.000000  n
Samples_reg[2][1]         dff             library         7.000000  n
Samples_reg[2][2]         dff             library         7.000000  n
Samples_reg[2][3]         dff             library         7.000000  n
Samples_reg[2][4]         dff             library         7.000000  n
Samples_reg[2][5]         dff             library         7.000000  n
Samples_reg[2][6]         dff             library         7.000000  n
Samples_reg[2][7]         dff             library         7.000000  n
Samples_reg[3][0]         dff             library         7.000000  n
Samples_reg[3][1]         dff             library         7.000000  n
Samples_reg[3][2]         dff             library         7.000000  n
Samples_reg[3][3]         dff             library         7.000000  n
Samples_reg[3][4]         dff             library         7.000000  n
Samples_reg[3][5]         dff             library         7.000000  n
Samples_reg[3][6]         dff             library         7.000000  n
Samples_reg[3][7]         dff             library         7.000000  n
Samples_reg[4][0]         dff             library         7.000000  n
Samples_reg[4][1]         dff             library         7.000000  n
Samples_reg[4][2]         dff             library         7.000000  n
Samples_reg[4][3]         dff             library         7.000000  n
Samples_reg[4][4]         dff             library         7.000000  n
Samples_reg[4][5]         dff             library         7.000000  n
Samples_reg[4][6]         dff             library         7.000000  n
Samples_reg[4][7]         dff             library         7.000000  n
Samples_reg[5][0]         dff             library         7.000000  n
Samples_reg[5][1]         dff             library         7.000000  n
Samples_reg[5][2]         dff             library         7.000000  n
Samples_reg[5][3]         dff             library         7.000000  n
Samples_reg[5][4]         dff             library         7.000000  n
Samples_reg[5][5]         dff             library         7.000000  n
Samples_reg[5][6]         dff             library         7.000000  n
Samples_reg[5][7]         dff             library         7.000000  n
Samples_reg[6][0]         dff             library         7.000000  n
Samples_reg[6][1]         dff             library         7.000000  n
Samples_reg[6][2]         dff             library         7.000000  n
Samples_reg[6][3]         dff             library         7.000000  n
Samples_reg[6][4]         dff             library         7.000000  n
Samples_reg[6][5]         dff             library         7.000000  n
Samples_reg[6][6]         dff             library         7.000000  n
Samples_reg[6][7]         dff             library         7.000000  n
Samples_reg[7][0]         dff             library         7.000000  n
Samples_reg[7][1]         dff             library         7.000000  n
Samples_reg[7][2]         dff             library         7.000000  n
Samples_reg[7][3]         dff             library         7.000000  n
Samples_reg[7][4]         dff             library         7.000000  n
Samples_reg[7][5]         dff             library         7.000000  n
Samples_reg[7][6]         dff             library         7.000000  n
Samples_reg[7][7]         dff             library         7.000000  n
Samples_reg[8][0]         dff             library         7.000000  n
Samples_reg[8][1]         dff             library         7.000000  n
Samples_reg[8][2]         dff             library         7.000000  n
Samples_reg[8][3]         dff             library         7.000000  n
Samples_reg[8][4]         dff             library         7.000000  n
Samples_reg[8][5]         dff             library         7.000000  n
Samples_reg[8][6]         dff             library         7.000000  n
Samples_reg[8][7]         dff             library         7.000000  n
Samples_reg[9][0]         dff             library         7.000000  n
Samples_reg[9][1]         dff             library         7.000000  n
Samples_reg[9][2]         dff             library         7.000000  n
Samples_reg[9][3]         dff             library         7.000000  n
Samples_reg[9][4]         dff             library         7.000000  n
Samples_reg[9][5]         dff             library         7.000000  n
Samples_reg[9][6]         dff             library         7.000000  n
Samples_reg[9][7]         dff             library         7.000000  n
Samples_reg[10][0]        dff             library         7.000000  n
Samples_reg[10][1]        dff             library         7.000000  n
Samples_reg[10][2]        dff             library         7.000000  n
Samples_reg[10][3]        dff             library         7.000000  n
Samples_reg[10][4]        dff             library         7.000000  n
Samples_reg[10][5]        dff             library         7.000000  n
Samples_reg[10][6]        dff             library         7.000000  n
Samples_reg[10][7]        dff             library         7.000000  n
Samples_reg[11][0]        dff             library         7.000000  n
Samples_reg[11][1]        dff             library         7.000000  n
Samples_reg[11][2]        dff             library         7.000000  n
Samples_reg[11][3]        dff             library         7.000000  n
Samples_reg[11][4]        dff             library         7.000000  n
Samples_reg[11][5]        dff             library         7.000000  n
Samples_reg[11][6]        dff             library         7.000000  n
Samples_reg[11][7]        dff             library         7.000000  n
Samples_reg[12][0]        dff             library         7.000000  n
Samples_reg[12][1]        dff             library         7.000000  n
Samples_reg[12][2]        dff             library         7.000000  n
Samples_reg[12][3]        dff             library         7.000000  n
Samples_reg[12][4]        dff             library         7.000000  n
Samples_reg[12][5]        dff             library         7.000000  n
Samples_reg[12][6]        dff             library         7.000000  n
Samples_reg[12][7]        dff             library         7.000000  n
Samples_reg[13][0]        dff             library         7.000000  n
Samples_reg[13][1]        dff             library         7.000000  n
Samples_reg[13][2]        dff             library         7.000000  n
Samples_reg[13][3]        dff             library         7.000000  n
Samples_reg[13][4]        dff             library         7.000000  n
Samples_reg[13][5]        dff             library         7.000000  n
Samples_reg[13][6]        dff             library         7.000000  n
Samples_reg[13][7]        dff             library         7.000000  n
U758                      nor2            library         1.000000  
U759                      inv             library         1.000000  
